epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.0508,1.35782,0.66667,1,1.06833,0.000175,0.000175,0.000175
2,26.4061,1.08297,0.66667,1,0.91213,0.000355322,0.000355322,0.000355322
3,33.3083,0.8388,0.83333,1,0.77605,0.00052822,0.00052822,0.00052822
4,39.8035,0.62437,0.83333,1,0.67063,0.000693692,0.000693692,0.000693692
5,46.3235,0.43941,0.83333,1,0.61258,0.00085174,0.00085174,0.00085174
6,52.9563,0.32609,0.83333,1,0.54424,0.00100236,0.00100236,0.00100236
7,59.3976,0.24317,0.83333,1,0.42147,0.0011015,0.0011015,0.0011015
8,66.3424,0.20925,0.66667,1,0.35402,0.00107675,0.00107675,0.00107675
9,72.65,0.17062,0.66667,1,0.4533,0.001052,0.001052,0.001052
10,79.559,0.18034,0.66667,1,0.58239,0.00102725,0.00102725,0.00102725
11,85.7775,0.12754,0.66667,1,0.47893,0.0010025,0.0010025,0.0010025
12,92.8156,0.13304,0.83333,1,0.29925,0.00097775,0.00097775,0.00097775
13,98.861,0.12459,0.83333,1,0.3759,0.000953,0.000953,0.000953
