epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.19957,1.39124,0.4,1,1.40647,0.000175,0.000175,0.000175
2,16.711,1.16329,0.6,1,1.08619,0.000355322,0.000355322,0.000355322
3,24.0321,0.9811,0.6,1,0.73309,0.00052822,0.00052822,0.00052822
4,31.3796,0.83146,0.6,1,0.56557,0.000693692,0.000693692,0.000693692
5,37.7714,0.59307,0.6,1,0.472,0.00085174,0.00085174,0.00085174
6,45.1132,0.45924,0.8,1,0.38563,0.00100236,0.00100236,0.00100236
7,51.4956,0.37002,0.8,1,0.31749,0.0011015,0.0011015,0.0011015
8,59.0052,0.27988,0.8,1,0.30027,0.00107675,0.00107675,0.00107675
9,65.4305,0.22829,0.8,1,0.23293,0.001052,0.001052,0.001052
10,72.748,0.2197,0.8,1,0.19718,0.00102725,0.00102725,0.00102725
11,79.2542,0.10436,0.8,1,0.1912,0.0010025,0.0010025,0.0010025
12,86.5154,0.11825,1,1,0.12737,0.00097775,0.00097775,0.00097775
13,93.3324,0.1938,1,1,0.15569,0.000953,0.000953,0.000953
14,100.378,0.10718,0.8,1,0.18043,0.00092825,0.00092825,0.00092825
15,107.029,0.13377,0.8,1,0.32702,0.0009035,0.0009035,0.0009035
16,113.99,0.11788,0.8,1,0.51924,0.00087875,0.00087875,0.00087875
17,120.894,0.14293,0.8,1,0.67699,0.000854,0.000854,0.000854
18,127.849,0.12182,0.8,1,0.81907,0.00082925,0.00082925,0.00082925
19,134.76,0.05978,0.8,1,0.98685,0.0008045,0.0008045,0.0008045
20,141.518,0.11107,0.8,1,0.88968,0.00077975,0.00077975,0.00077975
21,148.528,0.08841,0.8,1,0.72435,0.000755,0.000755,0.000755
22,155.126,0.08238,0.8,1,0.62678,0.00073025,0.00073025,0.00073025
