epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,30.6114,1.35214,0.14286,1,1.42571,0.000175,0.000175,0.000175
2,40.4226,1.10754,0.42857,1,1.35464,0.000355322,0.000355322,0.000355322
3,49.9439,0.86069,0.42857,1,1.25122,0.00052822,0.00052822,0.00052822
4,58.5707,0.58671,0.42857,1,1.22144,0.000693692,0.000693692,0.000693692
5,68.0177,0.41215,0.28571,1,1.26354,0.00085174,0.00085174,0.00085174
6,77.4646,0.23199,0.28571,1,1.34458,0.00100236,0.00100236,0.00100236
7,85.9343,0.18267,0.57143,1,1.20834,0.0011015,0.0011015,0.0011015
8,95.6017,0.14434,0.57143,1,1.1579,0.00107675,0.00107675,0.00107675
9,104.994,0.06815,0.57143,1,1.18108,0.001052,0.001052,0.001052
10,113.581,0.08404,0.71429,1,1.1572,0.00102725,0.00102725,0.00102725
11,122.969,0.05842,0.71429,1,1.18666,0.0010025,0.0010025,0.0010025
12,132.193,0.09433,0.57143,1,1.37936,0.00097775,0.00097775,0.00097775
13,140.383,0.17557,0.71429,1,1.39593,0.000953,0.000953,0.000953
14,149.641,0.04763,0.71429,1,1.40112,0.00092825,0.00092825,0.00092825
15,159.084,0.096,0.71429,1,1.41998,0.0009035,0.0009035,0.0009035
16,167.475,0.04321,0.71429,1,1.4419,0.00087875,0.00087875,0.00087875
17,177.099,0.12583,0.71429,1,1.44602,0.000854,0.000854,0.000854
18,186.543,0.07138,0.71429,1,1.39197,0.00082925,0.00082925,0.00082925
19,195.155,0.0329,0.71429,1,1.37542,0.0008045,0.0008045,0.0008045
20,204.57,0.11061,0.71429,1,1.29004,0.00077975,0.00077975,0.00077975
